auct_id	item_leaf_category_name	listing_title	listing_subtitle	listing_start_date	listing_end_date	listing_durtn_days	listing_type_code	feedback_score_at_listing_time	start_price	buy_it_now_price	buy_it_now_listed_flag	bold_fee_flag	featured_fee_flag	category_featured_fee_flag	gallery_fee_flag	gallery_featured_fee_flag	ipix_featured_fee_flag	reserve_fee_flag	highlight_fee_flag	schedule_fee_flag	border_fee_flag	qty_available_per_listing	category_avg_gms
00002	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Grün	Apple iPod mini 4 GB 2. Gen. 2005 silber blau pink grün		06/24/2005	11/03/2005	132	7	2182	195.00	0.00	N	N	N	N	Y	N	N	N	N	N	N	48	164.757
00010	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Grün	ipod mini 4 GB grün Neu & Originalverpackt		09/22/2005	10/02/2005	10	1	231	1.00	189.00	Y	N	N	N	Y	N	N	N	N	Y	Y	1	164.757
00011	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Grün	Apple iPod Mini 4GB Grün/Green, mit Garantie		09/21/2005	10/01/2005	10	1	12	1.00	0.00	N	N	N	N	N	N	N	N	N	N	N	1	164.757
00012	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Grün	Apple iPod mini 4 GB blau		09/21/2005	10/01/2005	10	1	4	1.00	0.00	N	N	N	N	N	N	N	N	N	N	N	1	164.757
00013	Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB	Apple iPod 4G 40GB - komplettes Zubehör - OVP!		09/22/2005	10/02/2005	10	1	7	1.00	0.00	N	N	N	N	Y	N	N	N	N	N	N	1	221.153
00016	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Apple iPod mini  4 GB  Silber  - ABSOLUT NEU		09/24/2005	10/04/2005	10	1	31	1.00	0.00	N	N	N	N	Y	N	N	N	N	Y	Y	1	167.977
00017	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Apple iPod Mini, Silber, 4Gb, kaum benutzt, Garantie!	Das absolute Komplettpaket mit allem !!!	09/22/2005	10/02/2005	10	1	340	1.99	175.00	Y	N	N	N	Y	N	Y	N	N	N	N	1	167.977
00019	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau	APPLE iPod Mini blau mit 4 GB **NEU und OVP*** TOP**		09/22/2005	10/02/2005	10	1	208	50.00	0.00	N	N	N	N	Y	N	N	N	N	N	N	1	161.512
00021	Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB	Apple iPod 40Gb defekt + Zubehör	Dock Connector USB/FW+Remote+Earphones+Power Adapter	09/22/2005	10/02/2005	10	1	315	1.99	0.00	N	N	N	N	Y	N	N	N	N	N	N	1	221.153
00023	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau	Apple IPOD MINI 4GB, blau, mit OVP und Rechnung		09/25/2005	10/02/2005	7	1	16	1.00	0.00	N	N	N	N	Y	N	Y	N	N	Y	N	1	161.512
00028	Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB	APPLE ipod 40GB, cooler MP3 Player, MP 3, Guckst du;-)		09/23/2005	10/03/2005	10	1	2924	1.99	0.00	N	N	N	N	Y	N	N	N	N	Y	N	1	221.153
00030	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	iPod mini, silber, orginale Lautstärke!		09/23/2005	10/03/2005	10	1	16	1.00	0.00	N	N	N	N	N	N	N	N	N	N	N	1	167.977
00033	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	** APPLE iPOD MINI 4 GB SILBER + ZUBEHÖR - 1A ZUSTAND *		09/24/2005	10/01/2005	7	1	108	1.00	0.00	N	N	N	N	Y	N	Y	N	N	Y	N	1	167.977
00034	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Appel iPod mini 4GB, silber, OVP, Garantie	inkl. Reisenetzteil	09/25/2005	10/02/2005	7	1	24	1.00	0.00	N	Y	N	N	Y	N	Y	N	N	Y	N	1	167.977
