auct_id;$N-gms_greater_avg
14053;0
10228;0
10227;0
12696;1
10224;1
12687;1
10220;0
10219;1
12684;1
10217;1
10216;1
10214;1
10213;1
10212;0
10210;0
10208;0
10207;1
12679;1
12677;1
12674;0
10203;0
12670;1
10196;0
12669;1
12665;0
10192;0
10186;0
12659;0
10181;1
12658;1
10178;1
12657;0
15926;0
15925;0
15923;0
10173;1
15918;0
15911;0
12649;0
12641;1
15907;0
12636;1
10168;1
10166;0
15898;0
15896;0
12635;1
15890;1
15889;0
10165;1
15883;0
10164;0
15881;0
10161;0
10159;1
12630;0
15876;0
10155;0
12629;1
12628;1
15868;0
15865;0
12625;1
15861;0
15859;0
15857;0
15856;1
15854;0
15853;0
12623;1
15850;0
10152;1
15848;0
15846;0
12622;1
15843;0
15842;0
12616;0
15835;0
10151;0
12608;1
15832;0
15831;0
15828;0
15826;0
10148;0
10147;0
15822;0
15821;0
15819;1
10144;1
10143;1
15810;0
12607;0
12606;0
15804;0
15802;0
10141;0
12604;1
15794;0
12603;1
15791;0
12594;1
15783;1
12591;0
15777;0
15775;0
15773;0
12588;0
10138;0
15769;0
12585;1
15766;1
15763;0
12581;0
15758;0
15756;0
10135;1
10132;0
15747;0
15746;0
12580;0
12579;0
12578;0
15740;0
15738;0
12565;0
15732;0
15731;0
15730;0
15729;0
15726;0
15725;1
12563;0
15721;0
12562;0
10127;1
15714;0
12559;0
12553;0
12551;1
15702;0
15696;0
12548;0
15690;0
12545;0
12543;0
12540;0
12538;1
10122;1
15683;0
15682;0
15675;1
12534;0
12532;1
12531;1
15666;1
15665;0
12530;1
10121;0
12529;1
12528;1
12520;0
12516;1
15654;0
15652;0
12515;1
10120;0
12509;0
15647;1
15645;0
15644;0
12503;1
15638;0
15637;0
15634;0
15633;0
10119;1
15631;0
12501;1
12500;0
15627;0
10117;0
15624;0
12497;1
12493;0
10110;1
15616;0
12486;1
15613;0
15612;0
12481;0
15607;0
15604;0
15602;0
15599;0
10109;1
12480;1
15592;1
10103;1
10102;0
15588;0
12462;1
12461;0
10100;1
15580;0
12456;1
10099;1
10098;0
15573;1
12445;0
12444;1
12441;1
10097;0
12437;1
15565;1
15559;0
12435;1
15556;0
15554;0
12434;0
12431;0
10095;0
15546;1
10094;0
12426;1
15536;0
12425;1
15533;1
15532;0
15529;0
15528;0
15526;0
15525;0
12424;0
12421;0
15520;1
15519;0
12420;0
12418;0
12403;0
12396;1
12388;0
15497;0
12381;0
12358;0
12356;1
15491;0
15490;0
12348;0
12344;0
15487;0
15486;0
12340;1
15484;1
15482;1
15481;1
10089;0
15479;0
15477;0
12339;0
12332;1
15467;0
12321;0
12305;1
15462;0
15461;1
12302;1
15459;0
15457;1
12300;1
10083;0
12297;0
15452;0
10082;1
10081;0
10080;1
15445;1
12294;0
12289;0
