auct_id,gms_greater_avg,listing_start_date_year_transformed,listing_end_date_year_transformed,item_leaf_category_name_color_category_transformed,item_leaf_category_gigabytes_transformed,start_price_LogN_transformed,qty_available_per_listing_Invers_transformed,listing_start_date_month_transformed,listing_start_date_day_transformed,listing_end_date_month_transformed,listing_end_date_day_transformed,feedback_score_at_listing_time_Log10_transformed,dasy_between_weihnachten_2006_Log10_transformed,buy_it_now_price_LogN_transformed,listing_durtn_days_LogN_transformed,days_between_weihnachten_2005_Log10_transformed,start_prive > avg_transformed,start_price_is_default_transformed,start_price > gms_avg_transformed,schedule_fee_flag_transformed,qty_available_per_listing_is_default_transformed,qty > avg_transformed,listing_type_code_9_transformed,listing_type_code_7_transformed,listing_type_code_2_transformed,listing_type_code_1_transformed,listing_title_lowercase_contains_white_transformed,listing_title_lowercase_contains_warrenty_transformed,listing_title_lowercase_contains_video_transformed,listing_title_lowercase_contains_verschweißt_transformed,listing_title_lowercase_contains_verpackt_transformed,listing_title_lowercase_contains_songs_transformed,listing_title_lowercase_contains_silver_transformed,listing_title_lowercase_contains_pink_transformed,listing_title_lowercase_contains_photo_transformed,listing_title_lowercase_contains_ovp_transformed,listing_title_lowercase_contains_original_transformed,listing_title_lowercase_contains_new_transformed,listing_title_lowercase_contains_ipod_transformed,listing_title_lowercase_contains_invoice_transformed,listing_title_lowercase_contains_green_transformed,listing_title_lowercase_contains_dock_transformed,listing_title_lowercase_contains_colordisplay_transformed,listing_title_lowercase_contains_bussword_transformed,listing_title_lowercase_contains_blue_transformed,listing_title_lowercase_contains_black_transformed,listing_title_lowercase_contains_bag_transformed,listing_title_lowercase_contains_apple_transformed,listing_title_lowercase_contains_alt_transformed,_contains_gen_transformed,_contains_5gen_transformed,_contains_4gen_transformed,_contains_3gen_transformed,_contains_2gen_transformed,_contains_1gen_transformed,listing_subtitle_lowercase_contains_ovp_transformed,listing_subtitle_lowercase_contains_new_transformed,listing_durtn_days_is_default_transformed,item_leaf_category_name_article_category_meta_category_nano_transformed,item_leaf_category_name_article_category_meta_category_mini_transformed,item_leaf_category_name_article_category_meta_category_classic_transformed,is_24_days_before_weihnachten_transformed,ipix_featured_fee_flag_transformed,highlight_fee_flag_transformed,gallery_fee_flag_transformed,gallery_featured_fee_flag_transformed,feedback_score_at_listing_time_is_default_transformed,feedback > avg_transformed,category_featured_fee_flag_transformed,buy_prive > avg_transformed,buy_it_now_listed_flag_transformed,buy_it_now > gms_avg_transformed,border_fee_flag_transformed,bold_fee_flag_transformed
4027,"W",2005,2005,-0.208363,-0.696476,-0.589519,0.150366,1.104415,-0.245817,1.128988,0.333457,0.275842,0.300570,-0.506275,0.163796,-1.493191,"1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1"
13601,"F",2006,2006,1.366717,-0.525924,-0.589519,0.150366,-1.240108,-1.642430,-1.205195,-0.875999,0.275842,-0.095435,-0.506275,0.668542,0.000000,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0","1","0","1","1","1","1","1","1","1","1","1"
13686,"F",2006,2006,-0.208363,0.667938,1.507972,0.150366,-1.240108,-1.293277,-1.205195,-0.996945,-1.081103,-0.159882,-0.506275,-0.602499,0.000000,"1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","1","1","1"
586,"F",2005,2005,-0.208363,2.373455,-0.589519,0.150366,0.678138,-0.362201,0.704591,0.212511,0.451714,1.466207,-0.506275,0.163796,1.420567,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","1","1"
724,"F",2005,2005,1.366717,-0.696476,-0.589519,0.150366,0.678138,0.103337,0.704591,1.301021,-0.190837,1.396142,-0.506275,1.203594,1.333807,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1"
3893,"F",2005,2005,1.366717,-0.696476,-0.589519,0.150366,1.104415,-0.362201,1.128988,0.212511,0.651721,0.320855,-0.506275,0.163796,-1.359229,"1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
9831,"W",2006,2006,-0.208363,-0.696476,-0.589519,0.150366,-0.813831,-0.129432,-0.780798,-0.029380,0.147690,-1.815647,2.048564,-2.250540,0.000000,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","1","1","1","0","0","0","1","1"
15072,"W",2006,2006,-0.208363,1.520696,-0.589519,0.150366,-1.026969,-0.362201,-0.992997,-0.392217,-0.304850,-1.051308,2.197014,0.000000,0.000000,"1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0","1","1","1","1","1","1","1","1","0","0","0","1","1"
15114,"W",2006,2006,-0.208363,1.520696,-0.589519,0.150366,-1.026969,-0.245817,-0.992997,0.333457,-0.304850,-1.075591,2.197014,0.163796,0.000000,"1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","0","0","0","1","1"
12159,"W",2005,2005,-0.208363,1.520696,-0.589519,0.150366,0.891276,1.150797,1.128988,-1.601673,0.753708,0.657691,2.152584,0.668542,-0.000719,"1","1","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","0","0","0","1","0"
