auct_id;$KM-K-Means
1;4
3;4
4;4
5;1
6;4
7;4
8;1
9;1
14;1
15;1
18;1
20;1
22;1
24;1
25;1
26;1
27;1
29;1
31;1
32;1
35;1
36;1
37;1
39;1
40;1
43;1
45;1
46;1
48;1
49;1
52;1
61;1
63;1
64;1
65;1
66;1
67;1
70;1
71;1
72;1
73;1
74;1
76;1
79;1
80;1
81;1
84;1
85;4
86;1
87;1
89;1
92;1
95;1
96;1
99;1
100;1
103;1
109;1
112;4
117;1
118;1
123;1
127;1
128;4
130;1
131;1
135;1
137;1
138;1
142;1
143;1
145;4
146;1
148;1
150;1
152;1
153;1
154;1
155;1
157;1
159;1
160;1
161;1
162;1
167;1
169;1
170;4
173;1
174;1
176;1
179;1
182;1
183;1
185;1
187;1
188;1
189;1
190;4
191;1
193;1
194;4
198;1
200;1
202;1
204;1
205;1
207;1
208;1
210;1
211;1
213;1
216;1
217;1
218;1
219;1
221;4
222;1
224;1
225;1
226;1
227;1
229;1
236;1
239;1
240;1
241;1
242;1
245;1
246;1
248;1
249;1
250;1
251;1
255;1
256;1
257;1
259;1
261;1
262;1
263;1
265;1
266;1
268;1
269;1
271;1
272;4
274;1
275;1
276;1
277;1
278;1
279;1
280;1
281;1
282;1
284;1
285;1
287;1
288;1
290;1
292;1
296;1
306;1
311;1
312;1
318;1
321;1
322;1
323;4
324;1
326;4
329;1
331;1
332;4
334;1
336;1
337;1
339;1
341;4
342;1
343;1
344;1
346;1
347;1
351;1
353;1
354;1
357;1
358;1
359;1
364;1
370;1
372;1
374;1
375;1
377;1
379;4
382;1
386;1
388;1
391;1
392;1
393;1
397;1
398;1
401;1
402;1
403;1
404;1
407;1
412;4
415;1
416;1
419;1
421;1
422;1
426;1
427;1
428;1
429;1
430;1
431;1
434;1
436;1
437;1
440;4
441;4
443;1
444;1
445;1
447;1
448;4
449;1
450;1
452;1
455;1
460;1
462;1
463;1
464;1
466;1
468;1
470;1
476;1
478;1
480;4
481;1
482;1
487;1
489;1
491;1
494;1
497;1
501;1
502;1
503;1
505;1
506;1
507;1
509;1
510;1
513;1
516;1
517;1
518;1
520;1
521;1
524;1
525;1
528;1
530;1
533;1
535;1
539;1
543;4
545;1
546;1
549;1
550;1
552;1
553;1
556;1
557;1
559;1
560;4
563;1
564;1
565;1
566;4
568;4
570;1
575;1
577;1
578;1
579;1
584;1
585;1
586;1
587;1
589;1
590;4
592;1
599;1
600;1
601;1
602;4
604;1
605;1
607;1
608;4
617;1
619;1
620;1
621;1
622;1
623;1
624;1
625;4
630;1
632;1
633;1
634;1
635;1
637;1
639;1
646;1
648;1
649;1
651;1
653;1
658;1
661;1
662;1
663;1
667;1
671;1
673;1
674;1
676;1
681;1
682;4
683;1
684;4
687;4
688;4
689;4
692;1
693;4
695;1
696;1
697;1
698;1
699;1
700;4
701;1
702;1
704;1
705;1
706;1
707;1
715;1
718;1
719;1
720;1
722;1
723;4
724;1
