auct_id,listing_title_lowercase,listing_subtitle_lowercase,listing_title_lowercase_contains_new,listing_subtitle_lowercase_contains_new,listing_title_lowercase_contains_ovp,listing_title_lowercase_contains_black,listing_title_lowercase_contains_silver,listing_title_lowercase_contains_white,listing_title_lowercase_contains_green,listing_title_lowercase_contains_pink,listing_title_lowercase_contains_blue,listing_title_lowercase_contains_photo,listing_title_lowercase_contains_bussword,listing_title_lowercase_contains_invoice,listing_title_lowercase_contains_video,listing_title_lowercase_contains_warrenty,listing_title_lowercase_contains_colordisplay,listing_title_lowercase_contains_original,listing_title_lowercase_contains_verschweißt,listing_title_lowercase_contains_dock,listing_title_lowercase_contains_alt,listing_title_lowercase_contains_songs,listing_title_lowercase_contains_verpackt,listing_title_lowercase_contains_bag
1,"apple ipod mini 4 gb 2. gen. 2005 silber blau pink grün","","F","F","F","F","W","F","W","W","W","F","F","F","F","F","F","F","F","F","F","F","F","F"
3,"apple ipod mini musicplayer 4gb mac/win usb 2.0 silber","","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F"
4,"apple ipod mini silber neuware mit rechnung/garantie","","W","F","F","F","W","F","F","F","F","F","F","W","F","W","F","F","F","F","F","F","F","F"
5,"apple i-pod mini 4gb blue  org. verpackt +rechnung","neuwertig +garantie über original-rechnung (mediamarkt)","F","W","F","F","F","F","F","F","W","F","F","W","F","F","F","F","F","F","F","F","W","F"
6,"apple ipod mini 4 gb rosa","","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
7,"apple ipod mini 4 gb rosa","","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
8,"apple ipod mini blue mit netzteil - absolut neuwertig","","W","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F"
9,"ipod mini 4gb (grün) + mega zubehör und dock + rechnung","ca. 1 jahr alt deswegen noch restgarantie vom herstelle","F","F","F","F","F","F","W","F","F","F","F","W","F","F","F","F","F","W","F","F","F","F"
14,"* neu & ovp * i pod mini 4gb grün 1000 songs pc+mac","","W","F","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F"
15,"ipod mini blau 4gb wie neu mit garantie und socke ovp","","W","F","W","F","F","F","F","F","W","F","F","F","F","W","F","F","F","F","F","F","F","F"
18,"ipod mini silber, nagelneu!!!","","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
20,"ipod mini 4 gb silber wie neu modell 2005 mit rechnung","incl. zubehör,networx silicon skin","W","F","F","F","W","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F"
22,"apple ipod mini 4 gb blau - 1000 songs pc + mac  ovp!!!","","F","F","W","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","W","F","F"
24,"apple ipod mini 2005  pink 4 gb wie neu ovp","","W","F","W","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
25,"apple ipod mini 4gb blau - neu mit rechnung","","W","F","F","F","F","F","F","F","W","F","F","W","F","F","F","F","F","F","F","F","F","F"
