auct_id,item_leaf_category_name,listing_title,listing_subtitle,listing_durtn_days,listing_type_code,feedback_score_at_listing_time,start_price,buy_it_now_price,buy_it_now_listed_flag,bold_fee_flag,category_featured_fee_flag,gallery_fee_flag,gallery_featured_fee_flag,ipix_featured_fee_flag,highlight_fee_flag,schedule_fee_flag,border_fee_flag,qty_available_per_listing,gms,category_avg_gms,gms_greater_avg,listing_start_date_date,listing_start_date_in_weeks,listing_start_date_month,listing_start_date_day,listing_start_date_year,item_leaf_category_name_article_category,item_leaf_category_name_color_category,_article_meta_mini,_article_meta_nano,_article_meta_classic,_article_40,_article_30,_article_20,_article_4,_article_2,item_leaf_category_name_color_category_Blau_flag,item_leaf_category_name_color_category_Gold_flag,item_leaf_category_name_color_category_Grün_flag,item_leaf_category_name_color_category_Pink_flag,item_leaf_category_name_color_category_Silber_flag,item_leaf_category_name_color_category_Sonsti_flag,listing_type_code_1,listing_type_code_2,listing_type_code_7,listing_type_code_9,listing_title_lowercase_contains_new,listing_subtitle_lowercase_contains_new,listing_title_lowercase_contains_ovp,listing_title_lowercase_contains_black,listing_title_lowercase_contains_silver,listing_title_lowercase_contains_white,listing_title_lowercase_contains_green,listing_title_lowercase_contains_pink,listing_title_lowercase_contains_blue,listing_title_lowercase_contains_photo,listing_title_lowercase_contains_bussword,listing_title_lowercase_contains_invoice,listing_title_lowercase_contains_video,listing_title_lowercase_contains_warrenty,listing_title_lowercase_contains_colordisplay,listing_title_lowercase_contains_original,listing_title_lowercase_contains_verschweißt,listing_title_lowercase_contains_dock,listing_title_lowercase_contains_alt,listing_title_lowercase_contains_songs,listing_title_lowercase_contains_verpackt,listing_title_lowercase_contains_bag,Partition
13686,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","   *****   Apple IPod     /    MP3 Player  20 GB ******","!!!    FOTO im TEXT     !!!!",3,1,9,99.000000,0.000000,"N","N","N","N","N","N","N","Y","N",1,182.000000,207.358000,0,2006-01-04,5531.285714,1,4,2006,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","1_Training"
13520,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","  ipod 20 GB  Klassik 2 Generation mit touchweel","",1,1,35,1.000000,0.000000,"N","N","N","N","N","Y","N","N","N",1,131.000000,207.358000,0,2005-12-29,5530.428571,12,29,2005,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","1_Training"
10136,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB"," Apple IPOD MP3 20GB + USB Kabel + Software CD + 4.Gene","",2,9,49,219.990000,0.000000,"N","N","N","Y","N","Y","N","N","N",1,219.990000,207.358000,1,2005-09-30,5517.571429,9,30,2005,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","1_Training"
14763,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB"," Bose Sound Dock NEU und OVP für iPOD","",3,1,477,1.000000,0.000000,"N","Y","N","Y","N","N","N","N","Y",1,294.000000,207.358000,1,2006-02-03,5535.571429,2,3,2006,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","W","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","F","1_Training"
13082,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB"," I Pod Photo Farbe 20 GB mit Fernbedienung und Hülle","",3,1,33,1.000000,0.000000,"N","N","N","Y","N","N","N","Y","N",1,250.000000,207.358000,1,2005-12-15,5528.428571,12,15,2005,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","1_Training"
15790,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","-- Apple IPod 3. Generation ! der schönste IPOD, NEU--","",1,1,84,169.000000,179.000000,"Y","N","N","Y","N","Y","N","N","N",1,179.000000,207.358000,0,2006-03-12,5540.857143,3,12,2006,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","1_Training"
10499,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","--- Apple iPod color 5. Generation, 20 GB, VIEL Zubehör","",10,1,56,1.000000,310.000000,"Y","Y","N","N","N","N","N","N","N",1,262.010000,207.358000,1,2005-10-13,5519.428571,10,13,2005,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","1_Training"
14590,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","-=Apple ipod 4. Generation 20GB=-=externe Festplatte=-","",3,1,9,198.000000,0.000000,"N","N","N","Y","N","N","N","N","N",1,202.000000,207.358000,0,2006-01-30,5535.000000,1,30,2006,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","1_Training"
15629,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","!!! Apple iPod 20 GB Click Wheel+ iTrip + Tasche !!!","",7,1,45,1.000000,199.000000,"Y","N","N","Y","N","N","N","N","N",1,186.000000,207.358000,0,2006-03-05,5539.857143,3,5,2006,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","1_Training"
10319,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","!!! Apple iPod 20 GB OVP - Super stylishes Teil !!!","",7,1,59,80.000000,0.000000,"N","N","N","N","N","N","N","N","N",1,191.000000,207.358000,0,2005-10-08,5518.714286,10,8,2005,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","F","F","W","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","1_Training"
14104,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","!!! Apple iPod PHOTO 20GB - Restgarantie - wie neu !!!","",7,1,23,1.000000,0.000000,"N","N","N","Y","N","Y","N","N","N",1,203.000000,207.358000,0,2006-01-15,5532.857143,1,15,2006,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","W","F","F","F","F","F","F","F","F","W","F","F","F","W","F","F","F","F","F","F","F","F","1_Training"
12320,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","!!! Neu iPod 20 gb weiß 3. Generation !!! IPod gen 4.","",7,1,1,1.000000,0.000000,"N","N","N","Y","N","Y","N","Y","N",1,186.990000,207.358000,0,2005-11-29,5526.142857,11,29,2005,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","1_Training"
10379,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","!!!!!! original Apple iPod der 4 Gen. mit 20 GB !!!!!!","* absolut neu, in voll eingescheißter OVP, ungeöffnet *",3,1,128,1.000000,0.000000,"N","N","N","N","N","Y","N","N","N",1,229.000000,207.358000,1,2005-10-10,5519.000000,10,10,2005,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","1_Training"
14049,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","!NEU! ipod 20 GB 4. Generation  inkl. Rechnung u. Dock","",7,1,94,20.000000,0.000000,"N","Y","N","Y","N","N","Y","N","N",1,213.490000,207.358000,1,2006-01-14,5532.714286,1,14,2006,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","W","F","F","F","F","F","W","F","F","F","F","1_Training"
10463,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB",".:: IPod 20GB Color - Neuste Generation - TOP :::.","",1,1,198,1.000000,0.000000,"N","N","N","N","N","N","N","N","N",1,258.900000,207.358000,1,2005-10-13,5519.428571,10,13,2005,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","W","F","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","1_Training"
15329,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","* Apple iPod * 4G ! 20GB ! OVP ! Zubehör ! MP3-Player","",6,1,41,150.000000,250.000000,"Y","N","N","Y","N","Y","Y","Y","N",1,250.000000,207.358000,1,2006-02-23,5538.428571,2,23,2006,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","1_Training"
15581,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","* Apple iPod * 4G ! 20GB ! OVP ! Zubehör ! MP3-Player","",7,1,41,150.000000,250.000000,"Y","N","N","Y","N","Y","Y","Y","N",1,250.000000,207.358000,1,2006-03-05,5539.857143,3,5,2006,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","1_Training"
14283,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","** Apple iPod photo 4. Generation, 20 GB **","absolut neuwertig, Garantie/Gewährleistung bis 09.2007",10,1,98,1.000000,0.000000,"N","N","N","Y","N","N","N","N","N",1,268.000000,207.358000,1,2006-01-21,5533.714286,1,21,2006,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","F","W","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","1_Training"
15003,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","** Apple iPod photo 4. Generation, 20 GB **","absolut neuwertig, Garantie/Gewährleistung bis 09.2007",10,1,102,1.000000,0.000000,"N","N","N","Y","N","N","N","N","N",1,255.600000,207.358000,1,2006-02-10,5536.571429,2,10,2006,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","F","W","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","1_Training"
10295,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","*** APPLE IPOD 20GB NEU ZUSTAND!!! ***","",1,1,55,190.000000,229.000000,"Y","N","N","N","N","N","N","N","N",1,191.000000,207.358000,0,2005-10-07,5518.571429,10,7,2005,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","1_Training"
12336,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","****Apple Ipod 20 GB 5. Generation. 5 Tage alt****","***Mit iScin und Haltestation***",5,1,30,1.000000,267.000000,"Y","N","N","Y","N","Y","Y","N","Y",1,241.000000,207.358000,1,2005-11-29,5526.142857,11,29,2005,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","1_Training"
10244,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","***20GB iPod*** Zustand wie neu, kaum gebraucht!!!!!!!","",0,1,23,170.000000,220.000000,"Y","N","N","Y","N","Y","N","N","N",1,220.000000,207.358000,1,2005-10-05,5518.285714,10,5,2005,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","1_Training"
10350,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","**Apple iPod Photo 5.G  20GB ungeöffnet mit Rechnung**","",0,1,10,1.000000,260.000000,"Y","N","N","N","N","N","N","Y","N",1,259.990000,207.358000,1,2005-10-09,5518.857143,10,9,2005,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","W","F","W","F","F","F","F","F","F","F","F","F","F","1_Training"
12707,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","**MP3 Player - Apple - iPod - 20GB - Weiß - Wie Neu**","",7,1,41,1.000000,0.000000,"N","N","N","N","N","N","N","N","N",1,191.000000,207.358000,0,2005-12-07,5527.285714,12,7,2005,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","1_Training"
10640,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","*Apple ipod 20 GB der 4. Generation mit Tasche/Zubehör*","",7,1,1,1.000000,0.000000,"N","N","N","N","N","N","N","N","N",1,182.010000,207.358000,0,2005-10-16,5519.857143,10,16,2005,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","1_Training"
13264,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","*TOP* iPod Photo (5G) 20GB + viele Extras","",3,1,9,1.000000,0.000000,"N","N","N","Y","N","N","N","N","Y",1,246.000000,207.358000,1,2005-12-19,5529.000000,12,19,2005,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","W","W","F","F","F","F","F","F","F","F","F","F","F","1_Training"
11938,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB","++ Apple iPod 20 GB Mac/Win 4. Generation - Neu!","Brandneues, unbenutztes Austauschgerät in der OVP!",7,1,112,1.000000,0.000000,"N","Y","N","Y","N","N","Y","N","N",1,252.000000,207.358000,1,2005-11-20,5524.857143,11,20,2005,"20 GB",,"F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","W","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","1_Training"
