auct_id	item_leaf_category_name	listing_title	listing_subtitle	listing_start_date	listing_end_date	listing_durtn_days	listing_type_code	feedback_score_at_listing_time	start_price	buy_it_now_price	buy_it_now_listed_flag	bold_fee_flag	featured_fee_flag	category_featured_fee_flag	gallery_fee_flag	gallery_featured_fee_flag	ipix_featured_fee_flag	reserve_fee_flag	highlight_fee_flag	schedule_fee_flag	border_fee_flag	qty_available_per_listing	gms	category_avg_gms	gms_greater_avg
00001	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Apple iPod mini 4 GB 2. Gen. 2005 silber blau pink grün		06/24/2005	11/03/2005	132	7	2182	195.00	0.00	N	N	N	N	Y	N	N	N	N	N	N	48	195.00	167.977	1
00003	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	APPLE iPod mini Musicplayer 4GB Mac/Win USB 2.0 silber		08/13/2005	10/11/2005	59	7	10604	185.00	0.00	N	N	N	N	N	N	N	N	N	N	N	2	185.00	167.977	1
00004	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber	Apple iPOD Mini Silber NEUWARE mit Rechnung/Garantie		09/08/2005	10/23/2005	45	7	72	195.00	0.00	N	N	N	N	Y	N	N	N	N	N	N	2	195.00	167.977	1
00005	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau	Apple i-Pod mini 4GB BLUE  org. verpackt +Rechnung	Neuwertig +Garantie über Original-Rechnung (Mediamarkt)	10/14/2005	10/24/2005	10	1	2	85.00	0.00	N	Y	N	N	Y	N	Y	N	N	Y	Y	1	172.00	161.512	1
00006	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Pink	Apple iPod mini 4 GB Rosa		09/18/2005	10/13/2005	25	7	136	199.00	0.00	N	N	N	N	N	N	N	N	N	N	N	1	199.00	173.45	1
00007	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Pink	Apple iPod mini 4 GB Rosa		09/19/2005	10/14/2005	25	7	136	199.00	0.00	N	N	N	N	N	N	N	N	N	N	N	1	199.00	173.45	1
00008	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau	Apple IPod mini blue mit Netzteil - absolut neuwertig		09/21/2005	10/01/2005	10	1	6	1.00	0.00	N	N	N	N	N	N	N	N	N	N	N	1	167.66	161.512	1
00009	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Grün	iPod Mini 4GB (Grün) + Mega Zubehör und Dock + Rechnung	ca. 1 Jahr alt deswegen noch Restgarantie vom Herstelle	09/21/2005	10/01/2005	10	1	16	1.00	250.00	Y	N	N	N	Y	N	N	N	N	N	N	1	171.00	164.757	1
00014	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Grün	* Neu & OVP * i Pod mini 4GB Grün 1000 Songs PC+Mac		09/22/2005	10/02/2005	10	1	10	120.00	0.00	N	N	N	N	N	N	N	N	N	N	N	1	161.01	164.757	0
00015	Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau	iPod mini blau 4GB wie NEU mit Garantie und Socke OVP		09/22/2005	10/02/2005	10	1	56	1.00	0.00	N	N	N	N	N	N	N	N	N	N	N	1	149.00	161.512	0
