auct_id;item_leaf_category_name;listing_title;listing_subtitle;listing_start_date;listing_end_date;listing_durtn_days;listing_type_code;feedback_score_at_listing_time;start_price;buy_it_now_price;buy_it_now_listed_flag;bold_fee_flag;category_featured_fee_flag;gallery_fee_flag;gallery_featured_fee_flag;ipix_featured_fee_flag;highlight_fee_flag;schedule_fee_flag;border_fee_flag;qty_available_per_listing;gms;category_avg_gms;gms_greater_avg;listing_start_date_in_weeks;listing_start_date_month;listing_start_date_day;listing_start_date_year;item_leaf_category_name_article_category;item_leaf_category_name_color_category;_article_meta_mini;_article_meta_nano;_article_meta_classic;_article_40;_article_30;_article_20;_article_4;_article_2;item_leaf_category_name_color_category_Blau_flag;item_leaf_category_name_color_category_Gold_flag;item_leaf_category_name_color_category_Grün_flag;item_leaf_category_name_color_category_Pink_flag;item_leaf_category_name_color_category_Silber_flag;item_leaf_category_name_color_category_Sonsti_flag;listing_type_code_1;listing_type_code_2;listing_type_code_7;listing_type_code_9;listing_title_lowercase_contains_new;listing_subtitle_lowercase_contains_new;listing_title_lowercase_contains_ovp;listing_title_lowercase_contains_black;listing_title_lowercase_contains_silver;listing_title_lowercase_contains_white;listing_title_lowercase_contains_green;listing_title_lowercase_contains_pink;listing_title_lowercase_contains_blue;listing_title_lowercase_contains_photo;listing_title_lowercase_contains_bussword;listing_title_lowercase_contains_invoice;listing_title_lowercase_contains_video;listing_title_lowercase_contains_warrenty;listing_title_lowercase_contains_colordisplay;listing_title_lowercase_contains_original;listing_title_lowercase_contains_verschweißt;listing_title_lowercase_contains_dock;listing_title_lowercase_contains_alt;listing_title_lowercase_contains_songs;listing_title_lowercase_contains_verpackt;listing_title_lowercase_contains_bag
13686;'Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB';'   *****   Apple IPod     /    MP3 Player  20 GB ******';'!!!    FOTO im TEXT     !!!!';2006-01-04;2006-01-07;3;1;9;99.000000;0.000000;'N';'N';'N';'N';'N';'N';'N';'Y';'N';1;182.000000;207.358000;0;5531.285714;1;4;2006;'20 GB';;'F';'F';'W';'F';'F';'W';'F';'W';'F';'F';'F';'F';'F';'F';'W';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F'
13520;'Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB';'  ipod 20 GB  Klassik 2 Generation mit touchweel';'';2005-12-29;2005-12-30;1;1;35;1.000000;0.000000;'N';'N';'N';'N';'N';'Y';'N';'N';'N';1;131.000000;207.358000;0;5530.428571;12;29;2005;'20 GB';;'F';'F';'W';'F';'F';'W';'F';'W';'F';'F';'F';'F';'F';'F';'W';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F'
10079;'Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB';' Apple I-Pod, 20 GB,gebraucht';'';2005-09-29;2005-10-09;10;1;171;1.990000;0.000000;'N';'N';'N';'Y';'N';'N';'N';'N';'N';1;231.000000;207.358000;1;5517.428571;9;29;2005;'20 GB';;'F';'F';'W';'F';'F';'W';'F';'W';'F';'F';'F';'F';'F';'F';'W';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F'
15205;'Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB';' Apple iPod (3.G) 20GB + iTrip und Zubehör! Ansehen!!';'';2006-02-16;2006-02-26;10;1;0;130.000000;0.000000;'N';'N';'N';'N';'N';'Y';'N';'N';'N';1;175.230000;207.358000;0;5537.428571;2;16;2006;'20 GB';;'F';'F';'W';'F';'F';'W';'F';'W';'F';'F';'F';'F';'F';'F';'W';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F'
10136;'Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB';' Apple IPOD MP3 20GB + USB Kabel + Software CD + 4.Gene';'';2005-09-30;2005-10-02;2;9;49;219.990000;0.000000;'N';'N';'N';'Y';'N';'Y';'N';'N';'N';1;219.990000;207.358000;1;5517.571429;9;30;2005;'20 GB';;'F';'F';'W';'F';'F';'W';'F';'W';'F';'F';'F';'F';'F';'F';'F';'F';'F';'W';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F'
13533;'Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB';' Bose Sound Dock NEU und OVP für iPOD';'';2005-12-29;2006-01-05;7;1;463;1.000000;0.000000;'N';'Y';'N';'Y';'N';'N';'N';'N';'Y';1;301.000000;207.358000;1;5530.428571;12;29;2005;'20 GB';;'F';'F';'W';'F';'F';'W';'F';'W';'F';'F';'F';'F';'F';'F';'W';'F';'F';'F';'W';'F';'W';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'W';'F';'F';'F';'F'
14763;'Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB';' Bose Sound Dock NEU und OVP für iPOD';'';2006-02-03;2006-02-06;3;1;477;1.000000;0.000000;'N';'Y';'N';'Y';'N';'N';'N';'N';'Y';1;294.000000;207.358000;1;5535.571429;2;3;2006;'20 GB';;'F';'F';'W';'F';'F';'W';'F';'W';'F';'F';'F';'F';'F';'F';'W';'F';'F';'F';'W';'F';'W';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'W';'F';'F';'F';'F'
13082;'Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB';' I Pod Photo Farbe 20 GB mit Fernbedienung und Hülle';'';2005-12-15;2005-12-18;3;1;33;1.000000;0.000000;'N';'N';'N';'Y';'N';'N';'N';'Y';'N';1;250.000000;207.358000;1;5528.428571;12;15;2005;'20 GB';;'F';'F';'W';'F';'F';'W';'F';'W';'F';'F';'F';'F';'F';'F';'W';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'W';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F'
15790;'Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB';'-- Apple IPod 3. Generation ! der schönste IPOD, NEU--';'';2006-03-12;2006-03-13;1;1;84;169.000000;179.000000;'Y';'N';'N';'Y';'N';'Y';'N';'N';'N';1;179.000000;207.358000;0;5540.857143;3;12;2006;'20 GB';;'F';'F';'W';'F';'F';'W';'F';'W';'F';'F';'F';'F';'F';'F';'W';'F';'F';'F';'W';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F'
10499;'Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB';'--- Apple iPod color 5. Generation, 20 GB, VIEL Zubehör';'';2005-10-13;2005-10-23;10;1;56;1.000000;310.000000;'Y';'Y';'N';'N';'N';'N';'N';'N';'N';1;262.010000;207.358000;1;5519.428571;10;13;2005;'20 GB';;'F';'F';'W';'F';'F';'W';'F';'W';'F';'F';'F';'F';'F';'F';'W';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F'
10301;'Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB';'----> Apple iPod Photo 20GB NEU / Verschweisst <-----';'';2005-10-07;2005-10-17;10;1;168;150.000000;0.000000;'N';'N';'N';'N';'N';'N';'N';'N';'N';1;222.000000;207.358000;1;5518.571429;10;7;2005;'20 GB';;'F';'F';'W';'F';'F';'W';'F';'W';'F';'F';'F';'F';'F';'F';'W';'F';'F';'F';'W';'F';'F';'F';'F';'W';'F';'F';'F';'W';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F'
11053;'Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB';'----> Apple iPod Photo 20GB NEU / Verschweisst <-----';'';2005-10-25;2005-11-04;10;1;169;1.000000;0.000000;'N';'N';'N';'N';'N';'N';'N';'Y';'N';1;219.100000;207.358000;1;5521.142857;10;25;2005;'20 GB';;'F';'F';'W';'F';'F';'W';'F';'W';'F';'F';'F';'F';'F';'F';'W';'F';'F';'F';'W';'F';'F';'F';'F';'W';'F';'F';'F';'W';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F'
10349;'Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB';'---I Pod,20GBsuper Zustand,keine Kratzer,100% TOP!!!---';'';2005-10-09;2005-10-16;7;1;39;1.000000;0.000000;'N';'N';'N';'N';'N';'N';'N';'N';'N';1;204.330000;207.358000;0;5518.857143;10;9;2005;'20 GB';;'F';'F';'W';'F';'F';'W';'F';'W';'F';'F';'F';'F';'F';'F';'W';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'W';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F'
14590;'Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB';'-=Apple ipod 4. Generation 20GB=-=externe Festplatte=-';'';2006-01-30;2006-02-02;3;1;9;198.000000;0.000000;'N';'N';'N';'Y';'N';'N';'N';'N';'N';1;202.000000;207.358000;0;5535.000000;1;30;2006;'20 GB';;'F';'F';'W';'F';'F';'W';'F';'W';'F';'F';'F';'F';'F';'F';'W';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F'
15765;'Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB';'!!! Apple i POD. EINFACH GENIAL !!!';'';2006-03-12;2006-03-19;7;1;42;1.000000;0.000000;'N';'N';'N';'N';'N';'Y';'N';'N';'N';1;152.000000;207.358000;0;5540.857143;3;12;2006;'20 GB';;'F';'F';'W';'F';'F';'W';'F';'W';'F';'F';'F';'F';'F';'F';'W';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F'
12638;'Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB';'!!! Apple iPod 20 GB (Photo) 5. Generation !!!';'NEUWERTIG - ORIGINAL VERPACKUNG - GARANTIE';2005-12-06;2005-12-13;7;1;33;1.000000;0.000000;'N';'N';'N';'Y';'N';'Y';'N';'Y';'N';1;241.000000;207.358000;1;5527.142857;12;6;2005;'20 GB';;'F';'F';'W';'F';'F';'W';'F';'W';'F';'F';'F';'F';'F';'F';'W';'F';'F';'F';'F';'W';'F';'F';'F';'F';'F';'F';'F';'W';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F'
15629;'Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB';'!!! Apple iPod 20 GB Click Wheel+ iTrip + Tasche !!!';'';2006-03-05;2006-03-12;7;1;45;1.000000;199.000000;'Y';'N';'N';'Y';'N';'N';'N';'N';'N';1;186.000000;207.358000;0;5539.857143;3;5;2006;'20 GB';;'F';'F';'W';'F';'F';'W';'F';'W';'F';'F';'F';'F';'F';'F';'W';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'W'
10319;'Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB';'!!! Apple iPod 20 GB OVP - Super stylishes Teil !!!';'';2005-10-08;2005-10-15;7;1;59;80.000000;0.000000;'N';'N';'N';'N';'N';'N';'N';'N';'N';1;191.000000;207.358000;0;5518.714286;10;8;2005;'20 GB';;'F';'F';'W';'F';'F';'W';'F';'W';'F';'F';'F';'F';'F';'F';'W';'F';'F';'F';'F';'F';'W';'F';'F';'F';'F';'F';'F';'F';'W';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F'
13215;'Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB';'!!! Apple iPod 3. Generation - 20GB !!!';'';2005-12-18;2005-12-21;3;1;16;1.000000;200.000000;'Y';'N';'N';'N';'N';'N';'N';'N';'N';1;188.690000;207.358000;0;5528.857143;12;18;2005;'20 GB';;'F';'F';'W';'F';'F';'W';'F';'W';'F';'F';'F';'F';'F';'F';'W';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F'
14104;'Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB';'!!! Apple iPod PHOTO 20GB - Restgarantie - wie neu !!!';'';2006-01-15;2006-01-22;7;1;23;1.000000;0.000000;'N';'N';'N';'Y';'N';'Y';'N';'N';'N';1;203.000000;207.358000;0;5532.857143;1;15;2006;'20 GB';;'F';'F';'W';'F';'F';'W';'F';'W';'F';'F';'F';'F';'F';'F';'W';'F';'F';'F';'W';'F';'F';'F';'F';'F';'F';'F';'F';'W';'F';'F';'F';'W';'F';'F';'F';'F';'F';'F';'F';'F'
12320;'Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB';'!!! Neu iPod 20 gb weiß 3. Generation !!! IPod gen 4.';'';2005-11-29;2005-12-06;7;1;1;1.000000;0.000000;'N';'N';'N';'Y';'N';'Y';'N';'Y';'N';1;186.990000;207.358000;0;5526.142857;11;29;2005;'20 GB';;'F';'F';'W';'F';'F';'W';'F';'W';'F';'F';'F';'F';'F';'F';'W';'F';'F';'F';'W';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F'
10191;'Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB';'!!!!!! original Apple iPod der 4 Gen. mit 20 GB !!!!!!';'* absolut neu, in voll eingescheißter OVP, ungeöffnet *';2005-10-03;2005-10-08;5;1;127;1.000000;0.000000;'N';'N';'N';'N';'N';'Y';'N';'N';'N';1;207.000000;207.358000;0;5518.000000;10;3;2005;'20 GB';;'F';'F';'W';'F';'F';'W';'F';'W';'F';'F';'F';'F';'F';'F';'W';'F';'F';'F';'F';'W';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'W';'F';'F';'F';'F';'F';'F'
10379;'Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB';'!!!!!! original Apple iPod der 4 Gen. mit 20 GB !!!!!!';'* absolut neu, in voll eingescheißter OVP, ungeöffnet *';2005-10-10;2005-10-13;3;1;128;1.000000;0.000000;'N';'N';'N';'N';'N';'Y';'N';'N';'N';1;229.000000;207.358000;1;5519.000000;10;10;2005;'20 GB';;'F';'F';'W';'F';'F';'W';'F';'W';'F';'F';'F';'F';'F';'F';'W';'F';'F';'F';'F';'W';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'F';'W';'F';'F';'F';'F';'F';'F'
