auct_id,listing_title,listing_subtitle,gms_greater_avg,listing_title_lowercase,listing_subtitle_lowercase,listing_start_date_year,listing_start_date_month,listing_end_date_year,listing_end_date_month,listing_start_date_year1_transformed,listing_durtn_days_transformed,feedback_score_at_listing_time_transformed,listing_start_date_month1_transformed,listing_start_date_day1_transformed,start_price_Mean_transformed,buy_it_now_price_Mean_transformed,dasy_between_weihnachten_2006_transformed,days_between_weihnachten_2005_transformed,listing_start_date_days,listing_end_date_days,listing_start_date_day,listing_end_date_day,gms_transformed,discret_feedback_score_transformed,Umcodieren1_transformed,item_leaf_category_name_transformed,listing_type_code_transformed,buy_it_now_listed_flag_transformed,bold_fee_flag_transformed,category_featured_fee_flag_transformed,gallery_fee_flag_transformed,gallery_featured_fee_flag_transformed,ipix_featured_fee_flag_transformed,highlight_fee_flag_transformed,schedule_fee_flag_transformed,border_fee_flag_transformed,category_avg_gms_transformed,item_leaf_category_name_article_category_transformed,_article_meta_mini_transformed,_article_meta_nano_transformed,_article_meta_classic_transformed,_article_40_transformed,_article_30_transformed,_article_20_transformed,_article_4_transformed,_article_2_transformed,item_leaf_category_name_color_category_Blau_flag_transformed,item_leaf_category_name_color_category_Gold_flag_transformed,item_leaf_category_name_color_category_Grün_flag_transformed,item_leaf_category_name_color_category_Pink_flag_transformed,item_leaf_category_name_color_category_Silber_flag_transformed,item_leaf_category_name_color_category_Sonsti_flag_transformed,listing_type_code_1_transformed,listing_type_code_2_transformed,listing_type_code_7_transformed,listing_type_code_9_transformed,listing_title_lowercase_contains_new_transformed,listing_subtitle_lowercase_contains_new_transformed,listing_title_lowercase_contains_ovp_transformed,listing_title_lowercase_contains_black_transformed,listing_title_lowercase_contains_silver_transformed,listing_title_lowercase_contains_white_transformed,listing_title_lowercase_contains_green_transformed,listing_title_lowercase_contains_pink_transformed,listing_title_lowercase_contains_blue_transformed,listing_title_lowercase_contains_photo_transformed,listing_title_lowercase_contains_bussword_transformed,listing_title_lowercase_contains_invoice_transformed,listing_title_lowercase_contains_video_transformed,listing_title_lowercase_contains_warrenty_transformed,listing_title_lowercase_contains_colordisplay_transformed,listing_title_lowercase_contains_original_transformed,listing_title_lowercase_contains_verschweißt_transformed,listing_title_lowercase_contains_dock_transformed,listing_title_lowercase_contains_alt_transformed,listing_title_lowercase_contains_songs_transformed,listing_title_lowercase_contains_apple_transformed,listing_title_lowercase_contains_ipod_transformed,listing_title_lowercase_contains_verpackt_transformed,listing_title_lowercase_contains_bag_transformed,buy_it_now_mean < real_transformed,is_buy_it_now_greater_transformed,start_price_mean < real_transformed,is_start_price_greater_transformed,is_before_weihnachten_transformed,is_after_weihnachten_2005_transformed
12005,"Apple iPod 20 GB, 4. Generation","",1,"apple ipod 20 gb, 4. generation","",2005,11,2005,12,2005,1.695387,2.729075,0.885634,0.683766,-0.120981,0.485277,0.707972,0.707972,-0.707972,-0.603978,0.683766,-1.726905,0.685991,1.662680,"13","13",3,"1","1","1","1","1","1","1","1","1",13.000000,"4","1","1","0","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1"
11283,"Apple 20 GB ipod (4. Gen., NEU!, viel Zubehör!)","inkl. itrip (Funkübertragung), Jogging-Tasche, usw.",0,"apple 20 gb ipod (4. gen., neu!, viel zubehör!)","inkl. itrip (funkübertragung), jogging-tasche, usw.",2005,11,2005,11,2005,-1.640894,-0.147798,0.885634,-1.648216,-0.120981,0.485277,1.132227,1.132227,-1.132227,-1.242533,-1.648216,-1.726905,0.079602,0.518369,"13","13",3,"0","1","0","0","1","0","1","0","1",13.000000,"4","1","1","0","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1"
11281,"*****  I-Pod 20 GB incl. Zubehör  *****","",0,"*****  i-pod 20 gb incl. zubehör  *****","",2005,10,2005,11,2005,-0.640009,-0.539658,0.672607,1.849758,-0.120981,0.485277,1.153440,1.153440,-1.153440,-1.199962,1.849758,-1.484965,-0.611078,-1.063285,"13","13",3,"0","1","1","0","1","1","1","1","1",13.000000,"4","1","1","0","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","0","1","1","0","1"
11276,"iPod 20 GB Apple","",0,"ipod 20 gb apple","",2005,10,2005,11,2005,0.694503,-0.510113,0.672607,1.849758,-0.120981,0.485277,1.153440,1.153440,-1.153440,-1.114822,1.849758,-1.001086,-0.520199,-0.590702,"13","13",3,"1","1","1","0","1","1","1","1","1",13.000000,"4","1","1","0","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1"
11275,"Apple iPod Tragbarer MP3-Player 20 GB (4. Gener.) weiss","",0,"apple ipod tragbarer mp3-player 20 gb (4. gener.) weiss","",2005,10,2005,11,2005,0.027247,-0.203778,0.672607,1.849758,-0.120981,0.485277,1.153440,1.153440,-1.153440,-1.157392,1.849758,-1.243026,-0.349801,0.441769,"13","13",3,"0","1","1","1","1","1","1","1","1",13.000000,"4","1","1","0","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1"
12572,"iPod 20 GB","Apple iPod 20 GB",0,"ipod 20 gb","apple ipod 20 gb",2005,12,2005,12,2005,0.694503,-0.553653,1.098661,-1.298419,-0.120981,0.485277,0.432206,0.432206,-0.432206,-0.391126,-1.298419,-0.517207,0.081874,-1.681646,"13","13",3,"1","1","1","1","1","0","1","1","1",13.000000,"4","1","1","0","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1"
12568,"APPLE iPOD 20 GB 4.Generation","",0,"apple ipod 20 gb 4.generation","",2005,12,2005,12,2005,0.694503,-0.502338,1.098661,-1.298419,-0.120981,0.485277,0.432206,0.432206,-0.432206,-0.391126,-1.298419,-0.517207,-1.553946,-0.514535,"13","13",3,"0","1","1","1","1","0","1","1","1",13.000000,"4","1","1","0","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
6799,"APPLE  iPod  silver  20GB (3G : 20 GB)","",0,"apple  ipod  silver  20gb (3g : 20 gb)","",2006,1,2006,2,2006,1.695387,-0.328178,-1.244638,1.266762,-0.120981,0.485277,-0.692071,-0.692071,0.692071,0.800844,1.266762,-1.243026,-1.488059,0.216294,"13","13",3,"1","1","1","1","1","0","1","1","1",13.000000,"4","1","1","0","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
11269,"iPod 20GB 3G (3.Generation) +ZUBEHÖR (iTrip,CarCharger)","",1,"ipod 20gb 3g (3.generation) +zubehör (itrip,carcharger)","",2005,10,2005,11,2005,0.694503,-0.547433,0.672607,1.849758,-0.120981,0.485277,1.153440,1.153440,-1.153440,-1.114822,1.849758,-1.001086,1.581375,-1.317998,"13","13",3,"1","1","1","1","1","0","1","1","1",13.000000,"4","1","1","0","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","0","1"
11266,"Apple iPod Photo 20GB, quasi neu in OVP","",1,"apple ipod photo 20gb, quasi neu in ovp","",2005,10,2005,10,2005,-1.640894,-0.265978,0.672607,1.849758,-0.120981,0.485277,1.153440,1.153440,-1.153440,-1.263818,1.849758,1.902190,0.581708,0.341052,"13","13",3,"0","1","1","1","1","1","1","1","1",13.000000,"4","1","1","0","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0","1"
