auct_id,listing_title,listing_subtitle,gms_greater_avg,listing_title_lowercase,listing_subtitle_lowercase,listing_start_date_month,listing_end_date_month,feedback_score_at_listing_time_transformed,listing_start_date_month1_transformed,start_price_Mean_transformed,buy_it_now_price_Mean_transformed,dasy_between_weihnachten_2006_transformed,days_between_weihnachten_2005_transformed,listing_start_date_days,listing_end_date_days,gms_transformed,discret_feedback_score_transformed,listing_type_code_transformed,buy_it_now_listed_flag_transformed,bold_fee_flag_transformed,gallery_fee_flag_transformed,ipix_featured_fee_flag_transformed,highlight_fee_flag_transformed,item_leaf_category_name_article_category_transformed,_article_meta_mini_transformed,_article_meta_classic_transformed,_article_30_transformed,_article_20_transformed,_article_4_transformed,listing_type_code_1_transformed,listing_type_code_9_transformed,listing_title_lowercase_contains_new_transformed,listing_subtitle_lowercase_contains_new_transformed,listing_title_lowercase_contains_ovp_transformed,listing_title_lowercase_contains_black_transformed,listing_title_lowercase_contains_white_transformed,listing_title_lowercase_contains_photo_transformed,listing_title_lowercase_contains_bussword_transformed,listing_title_lowercase_contains_video_transformed,listing_title_lowercase_contains_warrenty_transformed,listing_title_lowercase_contains_colordisplay_transformed,listing_title_lowercase_contains_original_transformed,listing_title_lowercase_contains_songs_transformed,listing_title_lowercase_contains_apple_transformed,listing_title_lowercase_contains_ipod_transformed,listing_title_lowercase_contains_verpackt_transformed,buy_it_now_mean < real_transformed,is_buy_it_now_greater_transformed,start_price_mean < real_transformed,is_start_price_greater_transformed,is_before_weihnachten_transformed,is_after_weihnachten_2005_transformed,$O-Anomaly,$O-AnomalyIndex,$O-PeerGroup,$O-Field-1,$O-FieldImpact-1,$O-Field-2,$O-FieldImpact-2,$O-Field-3,$O-FieldImpact-3,Partition
12005,"Apple iPod 20 GB, 4. Generation","",1,"apple ipod 20 gb, 4. generation","",11,12,2.729075,0.885634,-0.120981,0.485277,0.707972,0.707972,-0.707972,-0.603978,0.685991,1.662680,3,1,1,1,1,1,4,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,"F",0.783873,1,"feedback_score_at_listing_time_transformed",0.103878,"discret_feedback_score_transformed",0.044279,"_article_20_transformed",0.044128,"1_Training"
11283,"Apple 20 GB ipod (4. Gen., NEU!, viel Zubehör!)","inkl. itrip (Funkübertragung), Jogging-Tasche, usw.",0,"apple 20 gb ipod (4. gen., neu!, viel zubehör!)","inkl. itrip (funkübertragung), jogging-tasche, usw.",11,11,-0.147798,0.885634,-0.120981,0.485277,1.132227,1.132227,-1.132227,-1.242533,0.079602,0.518369,3,0,1,0,0,1,4,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,"F",0.765393,1,"buy_it_now_listed_flag_transformed",0.057894,"_article_20_transformed",0.045193,"ipix_featured_fee_flag_transformed",0.040481,"1_Training"
11275,"Apple iPod Tragbarer MP3-Player 20 GB (4. Gener.) weiss","",0,"apple ipod tragbarer mp3-player 20 gb (4. gener.) weiss","",10,11,-0.203778,0.672607,-0.120981,0.485277,1.153440,1.153440,-1.153440,-1.157392,-0.349801,0.441769,3,0,1,1,1,1,4,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,"F",0.857342,1,"listing_title_lowercase_contains_white_transformed",0.148629,"buy_it_now_listed_flag_transformed",0.051685,"_article_20_transformed",0.040346,"1_Training"
12572,"iPod 20 GB","Apple iPod 20 GB",0,"ipod 20 gb","apple ipod 20 gb",12,12,-0.553653,1.098661,-0.120981,0.485277,0.432206,0.432206,-0.432206,-0.391126,0.081874,-1.681646,3,1,1,1,0,1,4,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,"F",0.752062,1,"discret_feedback_score_transformed",0.051286,"_article_20_transformed",0.045994,"ipix_featured_fee_flag_transformed",0.041199,"1_Training"
6799,"APPLE  iPod  silver  20GB (3G : 20 GB)","",0,"apple  ipod  silver  20gb (3g : 20 gb)","",1,2,-0.328178,-1.244638,-0.120981,0.485277,-0.692071,-0.692071,0.692071,0.800844,-1.488059,0.216294,3,1,1,1,0,1,4,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"F",0.793701,3,"_article_20_transformed",0.112266,"ipix_featured_fee_flag_transformed",0.054131,"_article_meta_classic_transformed",0.054113,"1_Training"
11269,"iPod 20GB 3G (3.Generation) +ZUBEHÖR (iTrip,CarCharger)","",1,"ipod 20gb 3g (3.generation) +zubehör (itrip,carcharger)","",10,11,-0.547433,0.672607,-0.120981,0.485277,1.153440,1.153440,-1.153440,-1.114822,1.581375,-1.317998,3,1,1,1,0,1,4,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,"F",0.777271,1,"_article_20_transformed",0.044502,"ipix_featured_fee_flag_transformed",0.039863,"listing_title_lowercase_contains_apple_transformed",0.038563,"1_Training"
11266,"Apple iPod Photo 20GB, quasi neu in OVP","",1,"apple ipod photo 20gb, quasi neu in ovp","",10,10,-0.265978,0.672607,-0.120981,0.485277,1.153440,1.153440,-1.153440,-1.263818,0.581708,0.341052,3,0,1,1,1,1,4,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,"F",0.861327,1,"listing_title_lowercase_contains_photo_transformed",0.087933,"is_buy_it_now_greater_transformed",0.069975,"buy_it_now_listed_flag_transformed",0.051446,"1_Training"
11261,"iPod 20 GB PC + Mac","",1,"ipod 20 gb pc + mac","",10,11,-0.550543,0.672607,-0.120981,0.485277,1.153440,1.153440,-1.153440,-1.114822,0.331791,-1.468926,3,1,1,1,1,1,4,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,"F",0.744025,1,"_article_20_transformed",0.046491,"discret_feedback_score_transformed",0.043579,"listing_title_lowercase_contains_apple_transformed",0.040286,"1_Training"
11255,"APPLE iPod 20GB","",1,"apple ipod 20gb","",11,11,-0.539658,0.885634,-0.120981,0.485277,1.132227,1.132227,-1.132227,-1.093537,1.013382,-1.063285,3,1,1,1,1,1,4,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,"F",0.724387,1,"_article_20_transformed",0.047751,"discret_feedback_score_transformed",0.031645,"is_before_weihnachten_transformed",0.030549,"1_Training"
11254,"Apple iPod 20GB 4. Gen. mit Photo, Farbdisplay wie NEU!","",1,"apple ipod 20gb 4. gen. mit photo, farbdisplay wie neu!","",10,11,-0.329733,0.672607,-0.120981,0.485277,1.174652,1.174652,-1.174652,-1.072251,0.445389,0.212761,3,1,1,0,1,1,4,1,0,1,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,"F",0.952602,1,"listing_title_lowercase_contains_colordisplay_transformed",0.209156,"listing_title_lowercase_contains_photo_transformed",0.079508,"_article_20_transformed",0.036311,"1_Training"
