auct_id,gms_greater_avg,item_leaf_category_name_color_category,item_leaf_category_gigabytes,start_prive > avg,start_price_is_default,schedule_fee_flag,listing_type_code_9,listing_type_code_1,listing_title_lowercase_contains_silver,listing_title_lowercase_contains_ovp,listing_title_lowercase_contains_new,listing_title_lowercase_contains_black,listing_title_lowercase_contains_apple,_contains_gen,item_leaf_category_name_article_category_meta_category_nano,item_leaf_category_name_article_category_meta_category_mini,item_leaf_category_name_article_category_meta_category_classic,is_24_days_before_weihnachten,ipix_featured_fee_flag,gallery_fee_flag,feedback > avg,buy_it_now_listed_flag,buy_it_now > gms_avg,bold_fee_flag,start_price_LogN,qty_available_per_listing_Invers,listing_start_date_month,listing_start_date_day,listing_end_date_month,listing_end_date_day,listing_durtn_days_LogN,feedback_score_at_listing_time_Log10,days_between_weihnachten_2005_Log10,buy_it_now_price_LogN
4027,"W",5,4,"F","W","N","F","W","F","F","F","F","W","F","W","F","F","W","N","N","F","N","F","N",0.000000,1.000000,12,13,12,18,1.609438,2.176091,1.041393,0.000000
13601,"F",7,6,"F","W","N","F","W","W","F","F","F","F","F","F","W","F","W","Y","N","F","N","F","N",0.000000,1.000000,1,1,1,8,1.945910,2.176091,,0.000000
13686,"F",5,20,"F","F","Y","F","W","F","F","F","F","W","F","F","F","W","W","N","N","F","N","F","N",4.595120,1.000000,1,4,1,7,1.098612,0.954243,,0.000000
586,"F",5,40,"F","W","N","F","W","F","F","F","F","W","F","F","F","W","F","Y","N","F","N","F","N",0.000000,1.000000,10,12,10,17,1.609438,2.334454,1.863323,0.000000
724,"F",7,4,"F","W","N","F","W","W","F","W","F","W","F","F","W","F","F","N","Y","F","N","F","N",0.000000,1.000000,10,16,10,26,2.302585,1.755875,1.838849,0.000000
3893,"F",7,4,"F","W","Y","F","W","W","F","F","F","W","F","F","W","F","W","N","Y","F","N","F","N",0.000000,1.000000,12,12,12,17,1.609438,2.514548,1.079181,0.000000
9831,"W",5,4,"F","W","N","F","W","F","F","W","W","W","F","W","F","F","W","N","N","F","Y","W","N",0.000000,1.000000,3,14,3,15,0.000000,2.060698,,5.480639
15072,"W",5,30,"F","W","N","F","W","F","F","W","F","W","F","F","F","W","W","N","Y","F","Y","W","N",0.000000,1.000000,2,12,2,12,,1.653213,,5.799093
15114,"W",5,30,"F","W","N","F","W","F","F","W","F","W","F","F","F","W","W","N","Y","F","Y","W","N",0.000000,1.000000,2,13,2,18,1.609438,1.653213,,5.799093
12159,"W",5,30,"F","W","Y","F","W","F","W","W","W","W","F","F","F","W","F","N","Y","F","Y","W","Y",0.000000,1.000000,11,25,12,2,1.945910,2.606381,1.462398,5.703782
