auct_id,gms_greater_avg,listing_title,listing_subtitle,listing_start_date,listing_end_date,category_avg_gms,start_price_Mean__avg,buy_it_now_price_Mean__avg,feedback_score_at_listing_time_Mean__avg,listing_durtn_days_LogN,feedback_score_at_listing_time_Log10,start_price_LogN,buy_it_now_price_LogN,qty_available_per_listing_Mean__avg,item_leaf_category_name_article_category,item_leaf_category_name_article_category_meta_category,item_leaf_category_name_color_category,dasy_between_weihnachten_2006,days_between_weihnachten_2005,is_24_days_before_weihnachten,qty_available_per_listing_is_default,feedback > avg,buy_prive > avg,buy_it_now > gms_avg,start_prive > avg,start_price > gms_avg,qty > avg,listing_subtitle_lowercase_contains_ovp,listing_start_date_year,listing_end_date_year,listing_start_date_month,listing_end_date_month,listing_start_date_day,listing_end_date_day,start_price_is_default,buy_it_now_listed_flag,feedback_score_at_listing_time_is_default,listing_durtn_days_is_default,bold_fee_flag,category_featured_fee_flag,gallery_fee_flag,gallery_featured_fee_flag,ipix_featured_fee_flag,highlight_fee_flag,schedule_fee_flag,border_fee_flag,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:30 GB,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gold,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Grün,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Pink,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Sonsti,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 6 GB:Blau,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 6 GB:Grün,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 6 GB:Pink,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 6 GB:Silber,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Nano 2 GB,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Nano 4 GB,listing_type_code_1,listing_type_code_2,listing_type_code_7,listing_type_code_9,listing_title_lowercase_contains_new,listing_subtitle_lowercase_contains_new,listing_title_lowercase_contains_ovp,listing_title_lowercase_contains_black,listing_title_lowercase_contains_silver,listing_title_lowercase_contains_white,listing_title_lowercase_contains_green,listing_title_lowercase_contains_pink,listing_title_lowercase_contains_blue,listing_title_lowercase_contains_photo,listing_title_lowercase_contains_bussword,listing_title_lowercase_contains_invoice,listing_title_lowercase_contains_video,listing_title_lowercase_contains_warrenty,listing_title_lowercase_contains_colordisplay,listing_title_lowercase_contains_original,listing_title_lowercase_contains_verschweißt,listing_title_lowercase_contains_dock,listing_title_lowercase_contains_alt,listing_title_lowercase_contains_songs,listing_title_lowercase_contains_apple,listing_title_lowercase_contains_ipod,listing_title_lowercase_contains_verpackt,listing_title_lowercase_contains_bag
4027,"W","                 apple     iPod nano   4GB    in white","",2005-12-13,2005-12-18,197.862000,176.815699,198.507979,692.674216,0.167384,0.274327,-0.605404,-0.523740,13.127273,"iPod Nano 4 GB","nano","",376,11,"W","W","F","F","F","F","F","F","F",2005,2005,12,12,13,18,"W","N","F","F","N","N","N","N","N","N","N","N","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","W","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","W","F","F"
13601,"F","          i-Pod mini 6GB Speicher Silber  leicht defekt","",2006-01-01,2006-01-08,197.022000,168.103558,207.012658,1043.834052,0.650967,0.274327,-0.605404,-0.523740,13.166667,"iPod Mini 6 GB","mini","Silber",357,-8,"W","W","F","F","F","F","F","F","F",2006,2006,1,1,1,8,"W","N","F","F","N","N","N","N","Y","N","N","N","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","W","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F"
13686,"F","   *****   Apple IPod     /    MP3 Player  20 GB ******","!!!    FOTO im TEXT     !!!!",2006-01-04,2006-01-07,207.358000,162.585936,226.704225,893.903859,-0.566783,-1.082628,1.457559,-0.523740,9.533333,"20 GB","classic","",354,-11,"W","W","F","F","F","F","F","F","F",2006,2006,1,1,4,7,"F","N","F","F","N","N","N","N","N","N","Y","N","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","W","F","F"
586,"F","  Apple iPod 4G 40GB (defekt)","",2005-10-12,2005-10-17,221.153000,176.996803,268.666667,764.667335,0.167384,0.450200,-0.605404,-0.523740,9.500000,"40 GB","classic","",438,73,"F","W","F","F","F","F","F","F","F",2005,2005,10,10,12,17,"W","N","F","F","N","N","N","N","Y","N","N","N","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","W","F","F"
724,"F","  Apple iPod mini 4GB in silber ( wie neu + Zubehör )","",2005-10-16,2005-10-26,167.977000,131.317479,171.047619,628.901677,1.163586,-0.192355,-0.605404,-0.523740,6.708333,"iPod Mini 4 GB","mini","Silber",434,69,"F","W","F","F","F","F","F","F","F",2005,2005,10,10,16,26,"W","N","F","F","N","N","Y","N","N","N","N","N","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","W","F","F","F","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","W","F","F"
3893,"F","  Apple Ipod Mini 4GB Silber","",2005-12-12,2005-12-17,167.977000,131.317479,171.047619,628.901677,0.167384,0.650208,-0.605404,-0.523740,6.708333,"iPod Mini 4 GB","mini","Silber",377,12,"W","W","F","F","F","F","F","F","F",2005,2005,12,12,12,17,"W","N","F","F","N","N","Y","N","N","N","Y","N","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","W","F","F"
9831,"W","  Apple iPod Nano 4GB Schwarz, NEU, VERSANDKOSTENFREI","",2006-03-14,2006-03-15,197.862000,176.815699,198.507979,692.674216,-2.145727,0.146174,-0.605404,1.977317,13.127273,"iPod Nano 4 GB","nano","",285,-80,"W","W","F","W","W","F","F","F","F",2006,2006,3,3,14,15,"W","Y","F","F","N","N","N","N","N","N","N","N","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","W","F","F","F","W","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","W","F","F"
15072,"W","  Apple iPod Video 30GB black+Folie+AV Kabel alles NEU","",2006-02-12,2006-02-12,263.459000,219.590736,282.979798,538.511002,,-0.306369,-0.605404,2.122642,9.592593,"30 GB","classic","",315,-50,"W","W","F","W","W","F","F","F","F",2006,2006,2,2,12,12,"W","Y","F","W","N","N","Y","N","N","N","N","N","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","W","W","F","F"
15114,"W","  Apple iPod Video 30GB black+Folie+AV Kabel alles NEU","",2006-02-13,2006-02-18,263.459000,219.590736,282.979798,538.511002,0.167384,-0.306369,-0.605404,2.122642,9.592593,"30 GB","classic","",314,-51,"W","W","F","W","W","F","F","F","F",2006,2006,2,2,13,18,"W","Y","F","F","N","N","Y","N","N","N","N","N","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","W","W","F","F"
12159,"W","  APPLE iPod Video 30GB schwarz, 5G, NEU und OVP","",2005-11-25,2005-12-02,263.459000,219.590736,282.979798,538.511002,0.650967,0.752196,-0.605404,2.079148,9.592593,"30 GB","classic","",394,29,"F","W","F","W","W","F","F","F","F",2005,2005,11,12,25,2,"W","Y","F","F","Y","N","Y","N","N","N","Y","N","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","W","F","W","W","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","W","W","F","F"
