auct_id,gms_greater_avg,listing_title,listing_subtitle,listing_start_date,listing_end_date,item_leaf_category_name,listing_type_code,category_avg_gms,start_price_Mean__avg,buy_it_now_price_Mean__avg,feedback_score_at_listing_time_Mean__avg,gms,listing_durtn_days_LogN,feedback_score_at_listing_time_Log10,start_price_LogN,buy_it_now_price_LogN,qty_available_per_listing_LogN,qty_available_per_listing_Mean__avg,listing_start_date_year,listing_end_date_year,listing_start_date_month,listing_end_date_month,listing_start_date_day,listing_end_date_day,start_price_is_default,buy_it_now_listed_flag,feedback_score_at_listing_time_is_default,listing_durtn_days_is_default,bold_fee_flag,featured_fee_flag,category_featured_fee_flag,gallery_fee_flag,gallery_featured_fee_flag,ipix_featured_fee_flag,reserve_fee_flag,highlight_fee_flag,schedule_fee_flag,border_fee_flag,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:30 GB,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:40 GB,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Blau,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Gold,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Grün,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Pink,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Silber,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 4 GB:Sonsti,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 6 GB:Blau,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 6 GB:Grün,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 6 GB:Pink,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Mini 6 GB:Silber,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Nano 2 GB,item_leaf_category_name_Audio & Hi-Fi:MP3-Player:Apple iPod:iPod Nano 4 GB,listing_type_code_1,listing_type_code_2,listing_type_code_7,listing_type_code_9,listing_title_lowercase_contains_new,listing_subtitle_lowercase_contains_new,listing_title_lowercase_contains_ovp,listing_title_lowercase_contains_black,listing_title_lowercase_contains_silver,listing_title_lowercase_contains_white,listing_title_lowercase_contains_green,listing_title_lowercase_contains_pink,listing_title_lowercase_contains_blue,listing_title_lowercase_contains_photo,listing_title_lowercase_contains_bussword,listing_title_lowercase_contains_invoice,listing_title_lowercase_contains_video,listing_title_lowercase_contains_warrenty,listing_title_lowercase_contains_colordisplay,listing_title_lowercase_contains_original,listing_title_lowercase_contains_verschweißt,listing_title_lowercase_contains_dock,listing_title_lowercase_contains_alt,listing_title_lowercase_contains_songs,listing_title_lowercase_contains_apple,listing_title_lowercase_contains_ipod,listing_title_lowercase_contains_verpackt,listing_title_lowercase_contains_bag
12005,"W","Apple iPod 20 GB, 4. Generation","",2005-11-21,2005-12-01,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB",1,207.358000,162.585936,226.704225,893.903859,226.590000,1.163586,1.635329,0.243856,0.418214,0.534506,9.533333,2005,2005,11,12,21,1,"W","N","F","F","N","N","N","Y","N","N","N","N","N","N","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","W","F","F"
10860,"W","Apple iPod Photo 20GB - nur 2 Wochen alt!","mit iTrip und Silikon skin ice",2005-10-20,2005-10-27,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB",1,207.358000,162.585936,226.704225,893.903859,222.110000,0.650967,-1.235541,0.243856,0.418214,0.534506,9.533333,2005,2005,10,10,20,27,"W","N","F","F","N","N","N","Y","N","Y","N","N","N","N","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","W","F","W","W","F","F"
10870,"W","Apple iPod MP3-Player 20 GB, 5 Gen. Farbdisplay, OVP","",2005-10-20,2005-10-27,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB",1,207.358000,162.585936,226.704225,893.903859,216.000000,0.650967,0.608766,0.243856,0.418214,0.534506,9.533333,2005,2005,10,10,20,27,"W","N","F","F","N","N","N","Y","N","Y","N","N","Y","N","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","F","F","W","W","F","F"
10878,"W","Neuer Apple I Pod 20 GB 5. Generation mit Clickwheel!!","!!!Apple Garantie bis September 2006!!!",2005-10-20,2005-10-23,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB",1,207.358000,162.585936,226.704225,893.903859,245.210000,-0.566783,-0.938651,0.243856,1.529936,0.534506,9.533333,2005,2005,10,10,20,23,"W","Y","F","F","Y","N","N","N","N","Y","N","Y","N","N","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F"
10881,"F","APPLE iPod 20 GB MAC+PC - WIE NEU !!!","",2005-10-20,2005-10-30,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB",1,207.358000,162.585936,226.704225,893.903859,170.000000,1.163586,-0.148405,-0.360024,0.418214,0.534506,9.533333,2005,2005,10,10,20,30,"F","N","F","F","N","N","N","Y","N","N","N","N","N","N","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","W","F","F"
10889,"W","APPLE IPOD MINI 20 GB NEU/OVP Orignal + Rechnung","",2005-10-20,2005-10-21,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB",1,207.358000,162.585936,226.704225,893.903859,231.000000,-2.145727,0.616741,0.243856,0.418214,0.534506,9.533333,2005,2005,10,10,20,21,"W","N","F","F","N","N","N","Y","N","N","N","N","N","N","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","W","F","W","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","W","W","F","F"
10893,"W","APPLE IPOD MINI 20 GB NEU/OVP Orignal + Rechnung","",2005-10-20,2005-10-21,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB",1,207.358000,162.585936,226.704225,893.903859,240.800000,-2.145727,0.616741,0.243856,0.418214,0.534506,9.533333,2005,2005,10,10,20,21,"W","N","F","F","N","N","N","Y","N","N","N","N","N","N","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","W","F","W","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","W","W","F","F"
10894,"F","Apple ipod photo 20GB +5Cd‚s+Apple T-shirt","wenig gebraucht voll beladen",2005-10-20,2005-10-27,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB",1,207.358000,162.585936,226.704225,893.903859,201.000000,0.650967,0.881909,0.243856,0.418214,0.534506,9.533333,2005,2005,10,10,20,27,"W","N","F","F","N","N","N","Y","N","N","N","N","N","N","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","W","W","F","F"
10895,"F","Apple iPod 3G 20 GB OVP mit Dock","",2005-10-20,2005-10-30,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB",1,207.358000,162.585936,226.704225,893.903859,176.000000,1.163586,0.056147,0.243856,-0.085154,0.534506,9.533333,2005,2005,10,10,20,30,"W","Y","F","F","Y","N","N","Y","N","Y","N","Y","N","N","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","W","W","F","F"
10897,"W","Apple I-Pod 20 GB","",2005-10-20,2005-10-27,"Audio & Hi-Fi:MP3-Player:Apple iPod:20 GB",1,207.358000,162.585936,226.704225,893.903859,211.000000,0.650967,0.101045,0.410844,0.418214,0.534506,9.533333,2005,2005,10,10,20,27,"F","N","F","F","N","N","N","N","N","Y","N","N","N","N","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F"
