Umcodieren1,auct_id,listing_title,listing_subtitle,listing_start_date,listing_end_date,listing_durtn_days,listing_type_code,feedback_score_at_listing_time,start_price,buy_it_now_price,buy_it_now_listed_flag,bold_fee_flag,category_featured_fee_flag,gallery_fee_flag,gallery_featured_fee_flag,ipix_featured_fee_flag,highlight_fee_flag,schedule_fee_flag,border_fee_flag,qty_available_per_listing,gms,category_avg_gms,gms_greater_avg,listing_start_date_month,listing_start_date_day,listing_start_date_year,item_leaf_category_name_article_category,item_leaf_category_name_color_category,_article_meta_mini,_article_meta_nano,_article_meta_classic,_article_40,_article_30,_article_20,_article_4,_article_2,item_leaf_category_name_color_category_Blau_flag,item_leaf_category_name_color_category_Gold_flag,item_leaf_category_name_color_category_Grün_flag,item_leaf_category_name_color_category_Pink_flag,item_leaf_category_name_color_category_Silber_flag,item_leaf_category_name_color_category_Sonsti_flag,listing_type_code_1,listing_type_code_2,listing_type_code_7,listing_type_code_9,listing_start_date_month_1,listing_start_date_month_2,listing_start_date_month_3,listing_start_date_month_6,listing_start_date_month_8,listing_start_date_month_9,listing_start_date_month_10,listing_start_date_month_11,listing_start_date_month_12,listing_title_lowercase_contains_new,listing_subtitle_lowercase_contains_new,listing_title_lowercase_contains_ovp,listing_title_lowercase_contains_black,listing_title_lowercase_contains_silver,listing_title_lowercase_contains_white,listing_title_lowercase_contains_green,listing_title_lowercase_contains_pink,listing_title_lowercase_contains_blue,listing_title_lowercase_contains_photo,listing_title_lowercase_contains_bussword,listing_title_lowercase_contains_invoice,listing_title_lowercase_contains_video,listing_title_lowercase_contains_warrenty,listing_title_lowercase_contains_colordisplay,listing_title_lowercase_contains_original,listing_title_lowercase_contains_verschweißt,listing_title_lowercase_contains_dock,listing_title_lowercase_contains_alt,listing_title_lowercase_contains_songs,listing_title_lowercase_contains_apple,listing_title_lowercase_contains_ipod,listing_title_lowercase_contains_verpackt,listing_title_lowercase_contains_bag,start_price_Mean,buy_it_now_price_Mean,buy_it_now_mean < real,is_buy_it_now_greater,start_price_mean < real,is_start_price_greater,dasy_between_weihnachten_2006,days_between_weihnachten_2005,is_before_weihnachten,is_after_weihnachten_2005,Partition
1,12005,"Apple iPod 20 GB, 4. Generation","",2005-11-21,2005-12-01,10,1,2347,1.000000,,"N","N","N","Y","N","N","N","N","N","1",226.590000,207.358000,1,11,21,2005,"20 GB","","F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","W","F","F",44.248043,226.704225,"F","F","F","F",398,33,"F","F","1_Training"
1,11283,"Apple 20 GB ipod (4. Gen., NEU!, viel Zubehör!)","inkl. itrip (Funkübertragung), Jogging-Tasche, usw.",2005-11-01,2005-11-01,0,1,265,1.000000,200.000000,"Y","N","Y","N","N","Y","N","Y","N","1",199.900000,207.358000,0,11,1,2005,"20 GB","","F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","W","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","W","F","F",44.248043,226.704225,"F","F","F","F",418,53,"F","F","1_Training"
1,11275,"Apple iPod Tragbarer MP3-Player 20 GB (4. Gener.) weiss","",2005-10-31,2005-11-05,5,1,229,1.000000,195.000000,"Y","N","N","Y","N","N","N","N","N","1",181.000000,207.358000,0,10,31,2005,"20 GB","","F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","W","F","F",44.248043,226.704225,"F","F","F","F",419,54,"F","F","1_Training"
1,12572,"iPod 20 GB","Apple iPod 20 GB",2005-12-04,2005-12-11,7,1,4,1.000000,,"N","N","N","Y","N","Y","N","N","N","1",200.000000,207.358000,0,12,4,2005,"20 GB","","F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F",44.248043,226.704225,"F","F","F","F",385,20,"W","F","1_Training"
1,6799,"APPLE  iPod  silver  20GB (3G : 20 GB)","",2006-01-26,2006-02-05,10,1,149,1.000000,,"N","N","N","Y","N","Y","N","N","N","1",130.900000,207.358000,0,1,26,2006,"20 GB","","F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","W","F","F",44.248043,226.704225,"F","F","F","F",332,-33,"W","F","1_Training"
1,11269,"iPod 20GB 3G (3.Generation) +ZUBEHÖR (iTrip,CarCharger)","",2005-10-31,2005-11-07,7,1,8,50.000000,,"N","N","N","Y","N","Y","N","N","N","1",266.000000,207.358000,1,10,31,2005,"20 GB","","F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F",44.248043,226.704225,"F","F","W","F",419,54,"F","F","1_Training"
1,11266,"Apple iPod Photo 20GB, quasi neu in OVP","",2005-10-31,2005-10-31,0,1,189,1.000000,222.000000,"Y","N","N","Y","N","N","N","N","N","1",222.000000,207.358000,1,10,31,2005,"20 GB","","F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","W","W","F","F",44.248043,226.704225,"F","W","F","F",419,54,"F","F","1_Training"
1,11261,"iPod 20 GB PC + Mac","",2005-10-31,2005-11-07,7,1,6,1.000000,,"N","N","N","Y","N","N","N","N","N","1",211.000000,207.358000,1,10,31,2005,"20 GB","","F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","F","F",44.248043,226.704225,"F","F","F","F",419,54,"F","F","1_Training"
1,11255,"APPLE iPod 20GB","",2005-11-01,2005-11-08,7,1,13,1.000000,,"N","N","N","Y","N","N","N","Y","N","1",241.000000,207.358000,1,11,1,2005,"20 GB","","F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","W","W","F","F",44.248043,226.704225,"F","F","F","F",418,53,"F","F","1_Training"
1,11254,"Apple iPod 20GB 4. Gen. mit Photo, Farbdisplay wie NEU!","",2005-10-30,2005-11-09,10,1,148,1.000000,,"N","N","N","N","N","N","N","N","N","1",216.000000,207.358000,1,10,30,2005,"20 GB","","F","F","W","F","F","W","F","W","F","F","F","F","F","F","W","F","F","F","F","F","F","F","F","F","W","F","F","W","F","F","F","F","F","F","F","F","W","F","F","F","F","W","F","F","F","F","F","W","W","F","F",44.248043,226.704225,"F","F","F","F",420,55,"F","F","1_Training"
